City_ID,City,Country,Date,Temperature,Latitude,Longtude,Humidity,Wind speed,Cloudiness
0,Asopos,GR,1565234428,69.27,36.73,22.85,43,6.55,0
1,Lorengau,PG,1565234428,85.85,-2.02,147.27,62,1.07,11
2,Longyearbyen,NO,1565234428,46.4,78.22,15.63,70,8.05,75
3,Prainha,BR,1565234428,73.68,-1.8,-53.48,76,1.54,9
4,Mahebourg,MU,1565234393,67.5,-20.41,57.7,83,3.36,40
5,Ilulissat,GL,1565234228,44.6,69.22,-51.1,81,3.36,0
6,Raudeberg,NO,1565234429,57.31,61.99,5.14,93,4.7,61
7,Mataura,NZ,1565234429,55,-46.19,168.86,71,7,100
8,Kitui,KE,1565234430,64.65,-1.37,38.02,86,6.78,100
9,Lasa,CY,1565234430,73.45,34.92,32.53,64,8.05,0
10,Ziro,IN,1565234431,68.01,27.54,93.82,89,2.98,97
11,Hermanus,ZA,1565234431,49.89,-34.42,19.24,83,5.99,63
12,Rikitea,PF,1565234353,71.52,-23.12,-134.97,62,8.43,0
13,Busselton,AU,1565234359,58.48,-33.64,115.35,49,16.02,95
14,Vila Velha,BR,1565234432,78.94,-3.71,-38.6,78,18.34,75
15,Port Elizabeth,US,1565234432,69.3,39.31,-74.98,94,3.36,1
16,Airai,TL,1565234432,81.42,-8.93,125.41,55,6.53,0
17,New Norfolk,AU,1565234390,46.98,-42.78,147.06,70,8.05,75
18,Qaanaaq,GL,1565234433,43.61,77.48,-69.36,69,5.59,100
19,Nikolskoye,RU,1565234433,54.66,59.7,30.79,93,3.65,77
20,Suhbaatar,MN,1565234433,62.22,50.23,106.21,67,4.88,68
21,Mehamn,NO,1565234434,44.6,71.03,27.85,93,6.93,75
22,Lebu,ET,1565234434,59,8.96,38.73,82,2.24,75
23,Zonguldak,TR,1565234434,71.47,41.25,31.83,60,3.22,0
24,Hwange,ZW,1565234435,60.11,-18.35,26.5,48,1.79,0
25,Chapais,CA,1565234435,62.6,49.78,-74.86,72,2.24,1
26,Faanui,PF,1565234435,78.85,-16.48,-151.75,82,18.75,0
27,Hithadhoo,MV,1565234308,83.35,-0.6,73.08,77,16.75,100
28,Khatanga,RU,1565234436,68.01,71.98,102.47,53,9.15,38
29,Te Anau,NZ,1565234377,42.58,-45.41,167.72,94,7.43,100
30,Upernavik,GL,1565234437,42.8,72.79,-56.15,81,1.3,13
31,Crestline,US,1565234431,67.3,40.79,-82.74,83,5.93,1
32,Raytown,US,1565234437,72.99,39.01,-94.46,88,3.2,1
33,Porbandar,IN,1565234438,84.2,21.64,69.61,83,13.87,75
34,Paraiso,BR,1565234438,82.4,-0.03,-51.17,83,9.17,20
35,Bara,NG,1565234439,70.41,10.41,10.6,94,4.99,100
36,Port Alfred,ZA,1565234355,57.99,-33.59,26.89,62,10,0
37,Cubara,CO,1565234165,48.72,7,-72.11,98,0.78,64
38,Bethel,US,1565234440,63.77,60.79,-161.76,68,11.41,90
39,Ostrovnoy,RU,1565234440,43.17,68.05,39.51,97,10,100
40,Bull Savanna,JM,1565234440,83.94,17.89,-77.59,75,6.4,47
41,Kapaa,US,1565234402,84.85,22.08,-159.32,70,9.17,75
42,Hasaki,JP,1565234441,94.12,35.73,140.83,63,9.17,40
43,Tigil,RU,1565234441,64.02,57.8,158.67,65,3.65,100
44,Carnarvon,ZA,1565234358,33.36,-30.97,22.13,91,4.81,0
45,Kirksville,US,1565234442,75.29,40.19,-92.58,94,4.68,1
46,Porto Novo,BR,1565234442,60.8,-23.68,-45.44,82,7.14,0
47,Laguna,BZ,1565234443,80.6,16.17,-88.94,83,3.58,40
48,Kodiak,US,1565234398,72.27,39.95,-94.76,88,4.7,1
49,Banepa,NP,1565234237,78.8,27.63,85.52,78,2.21,75
50,Yamada,JP,1565234443,93.54,36.58,137.08,47,2.24,40
51,Caravelas,BR,1565234444,72.6,-17.73,-39.27,82,11.07,77
52,Kokino,MK,1565234444,61.66,42.26,21.95,77,2.8,0
53,Avarua,CK,1565234444,75.2,-21.21,-159.78,94,2.24,100
54,Tecpan,GT,1565234444,63.59,14.76,-90.99,77,16.11,20
55,Pevek,RU,1565234358,42.4,69.7,170.27,98,13.42,92
56,Kawalu,ID,1565234445,71.56,-7.38,108.21,81,4.97,86
57,Hobart,AU,1565234401,46.99,-42.88,147.33,70,8.05,75
58,Puerto Leguizamo,CO,1565234445,69.06,-0.19,-74.78,84,1.81,14
59,Anand,IN,1565234446,80.6,22.56,72.96,94,6.93,90
60,Punta Arenas,CL,1565234446,37.17,-53.16,-70.91,86,40.26,40
61,Rio Cuarto,AR,1565234447,46.4,-33.13,-64.35,33,3.04,0
62,Paciran,ID,1565234447,85.58,-6.9,112.33,46,7,70
63,Port Macquarie,AU,1565234447,75.88,-31.43,152.91,24,23.04,75
64,Xining,CN,1565234448,54.03,36.62,101.77,85,5.88,100
65,Kysyl-Syr,RU,1565234448,71.78,63.9,122.77,42,6.87,100
66,Puerto Ayora,EC,1565234412,66.27,-0.74,-90.35,85,10.04,1
67,Bredasdorp,ZA,1565234449,51.31,-34.53,20.04,71,6.93,30
68,Napasar,IN,1565234449,90.96,27.97,73.56,56,9.42,100
69,Abhaynagar,BD,1565234449,81.51,23.01,89.4,88,14.41,99
70,Miyako,JP,1565234449,91.78,33.63,130.94,79,14.99,75
71,Ushuaia,AR,1565234364,33.8,-54.81,-68.31,96,9.17,75
72,La Ronge,CA,1565234450,60.8,55.1,-105.3,59,8.05,20
73,Kasulu,TZ,1565234451,66.2,-4.57,30.11,77,5.28,0
74,Vardo,US,1565234451,68.77,39.62,-77.74,94,4,1
75,Strezhevoy,RU,1565234451,59,60.73,77.6,82,4.47,0
76,Marienburg,DE,1565234451,57.99,52.12,9.98,82,3.36,0
77,Nizwa,OM,1565234452,92.71,22.93,57.53,21,4.68,0
78,Fukue,JP,1565234452,93.45,35.03,136.69,74,10.29,20
79,Peniche,PT,1565234452,70.92,39.36,-9.38,94,6.93,90
80,Salinas,US,1565234453,63.21,36.67,-121.66,72,14.99,1
81,Nanortalik,GL,1565234453,42.06,60.14,-45.24,95,5.55,100
82,Fairbanks,US,1565234233,61.68,64.84,-147.72,72,3.36,75
83,Swan River,CA,1565234453,49.08,52.11,-101.27,85,6.53,19
84,Takoradi,GH,1565234454,73.76,4.89,-1.75,88,4.34,81
85,Touros,BR,1565234454,69.8,-5.2,-35.46,100,4.7,20
86,Sistranda,NO,1565234454,56.21,63.73,8.83,93,9.17,75
87,Chuy,UY,1565234455,54.28,-33.69,-53.46,83,10.63,31
88,Arraial do Cabo,BR,1565234356,66.84,-22.97,-42.02,90,15.5,1
89,Alihe,CN,1565234455,65.17,50.57,123.73,70,3.18,100
90,Dembi Dolo,ET,1565234455,69.99,8.53,34.8,74,5.08,69
91,Saint-Philippe,CA,1565234456,70.86,45.36,-73.48,94,3.36,90
92,Butaritari,KI,1565234456,84.34,3.07,172.79,76,18.14,58
93,Zakamensk,RU,1565234456,54.57,50.38,103.29,69,3.2,95
94,Egvekinot,RU,1565234346,50.99,66.32,-179.17,86,13.22,100
95,Torbay,CA,1565234457,54.72,47.66,-52.73,100,4.7,90
